MES/AÑO;Q/GALON
ene-02;12.94
feb-02;12.76
mar-02;13.04
abr-02;14.60
may-02;14.65
jun-02;14.49
jul-02;14.86
ago-02;15.68
sep-02;15.63
oct-02;16.00
nov-02;16.12
dic-02;15.90
ene-03;15.80
feb-03;16.64
mar-03;17.79
abr-03;17.01
may-03;15.92
jun-03;15.07
jul-03;15.10
ago-03;15.54
sep-03;16.81
oct-03;16.60
nov-03;16.28
dic-03;15.89
ene-04;16.24
feb-04;17.49
mar-04;18.11
abr-04;18.48
may-04;18.89
jun-04;19.24
jul-04;19.16
ago-04;19.04
sep-04;18.91
oct-04;19.48
nov-04;20.31
dic-04;20.03
ene-05;19.09
feb-05;18.60
mar-05;19.76
abr-05;21.94
may-05;22.48
jun-05;22.22
jul-05;22.23
ago-05;22.89
sep-05;25.27
oct-05;27.22
nov-05;25.95
dic-05;23.29
ene-06;22.65
feb-06;22.35
mar-06;22.16
abr-06;24.48
may-06;26.85
jun-06;26.77
jul-06;26.58
ago-06;28.12
sep-06;27.29
oct-06;24.73
nov-06;23.18
dic-06;23.15
ene-07;22.99
feb-07;22.04
mar-07;23.13
abr-07;25.53
may-07;27.59
jun-07;28.69
jul-07;28.41
ago-07;27.91
sep-07;27.16
oct-07;27.34
nov-07;28.24
dic-07;29.04
ene-08;28.89
feb-08;28.71
mar-08;30.04
abr-08;31.69
may-08;33.12
jun-08;35.51
jul-08;36.42
ago-08;35.78
sep-08;34.83
oct-08;31.29
nov-08;26.29
dic-08;22.55
ene-09;21.58
feb-09;21.35
mar-09;21.05
abr-09;21.57
may-09;22.81
jun-09;23.91
jul-09;26.56
ago-09;26.58
sep-09;26.71
oct-09;26.02
nov-09;27.73
dic-09;27.42
ene-10;28.36
feb-10;27.99
mar-10;29.39
abr-10;30.56
may-10;29.84
jun-10;28.03
jul-10;27.93
ago-10;28.13
sep-10;27.22
oct-10;28.80
nov-10;28.96
dic-10;29.82
ene-11;30.89
feb-11;31.86
mar-11;34.52
abr-11;35.47
may-11;35.61
jun-11;34.76
jul-11;34.97
ago-11;35.14
sep-11;34.74
oct-11;34.11
nov-11;34.56
dic-11;33.37
ene-12;33.22
feb-12;34.80
mar-12;36.95
abr-12;37.56
may-12;35.85
jun-12;33.72
jul-12;34.71
ago-12;35.28
sep-12;37.67
oct-12;36.69
nov-12;33.88
dic-12;33.87
ene-13;33.69
feb-13;35.44
mar-13;35.36
abr-13;34.45
may-13;34.60
jun-13;34.25
jul-13;35.64
ago-13;36.33
sep-13;36.03
oct-13;34.14
nov-13;32.96
dic-13;35.05
ene-14;34.84
feb-14;33.93
mar-14;34.26
abr-14;35.08
may-14;34.70
jun-14;35.36
jul-14;35.61
ago-14;34.03
sep-14;33.11
oct-14;31.35
nov-14;29.38
dic-14;25.88
ene-15;21.74
feb-15;23.25
mar-15;24.99
abr-15;25.55
may-15;26.86
jun-15;27.10
jul-15;27.14
ago-15;25.20
sep-15;23.27
oct-15;22.86
nov-15;21.97
dic-15;21.03
ene-16;20.39
feb-16;19.38
mar-16;21.02
abr-16;22.25
may-16;23.10
jun-16;23.66
jul-16;22.53
ago-16;22.34
sep-16;22.99
oct-16;23.36
nov-16;22.68
dic-16;23.61
ene-17;24.69
feb-17;23.88
mar-17;23.42
abr-17;24.20
may-17;23.64
jun-17;23.33
jul-17;23.15
ago-17;23.73
sep-17;25.32
oct-17;24.44
nov-17;25.37
dic-17;25.11
ene-18;25.83
feb-18;25.78
mar-18;25.80
abr-18;27.10
may-18;28.29
jun-18;27.95
jul-18;27.87
ago-18;27.95
sep-18;28.21
oct-18;28.54
nov-18;25.87
dic-18;23.81
ene-19;23.03
feb-19;23.87
mar-19;25.80
abr-19;27.82
may-19;27.88
jun-19;26.44
jul-19;27.13
ago-19;26.07
sep-19;25.85
oct-19;25.61
nov-19;25.54
dic-19;25.39
ene-20;25.60
feb-20;24.51
mar-20;23.60
abr-20;18.97
may-20;18.74
jun-20;21.08
jul-20;22.55
ago-20;22.33
sep-20;22.14
oct-20;22.30
nov-20;21.21
dic-20;22.76
ene-21;23.82
feb-21;25.53
mar-21;27.70
abr-21;28.03
may-21;28.80
jun-21;28.85
jul-21;29.49
ago-21;29.91
sep-21;30.23
oct-21;31.00
nov-21;31.55
dic-21;29.82
ene-22;31.41
feb-22;33.84
mar-22;39.12
abr-22;38.83
may-22;42.14
jun-22;41.19
jul-22;36.41
ago-22;36.06
sep-22;35.21
oct-22;37.33
nov-22;37.39
dic-22;34.66
ene-23;35.12
feb-23;35.03
mar-23;34.40
abr-23;36.33
may-23;34.90
jun-23;34.41
jul-23;35.35
ago-23;38.36
sep-23;38.12
oct-23;36.61
nov-23;32.07
dic-23;30.57
ene-24;31.59
feb-24;32.79
mar-24;34.92
abr-24;36.21
may-24;35.54
jun-24;
jul-24;
ago-24;
sep-24;
oct-24;
nov-24;
dic-24;
ene-25;
feb-25;
mar-25;
abr-25;
may-25;
jun-25;
jul-25;
ago-25;
sep-25;
oct-25;
nov-25;
dic-25;
ene-26;
feb-26;
mar-26;
abr-26;
may-26;
jun-26;
jul-26;
ago-26;
sep-26;
oct-26;
nov-26;
dic-26;
ene-27;
feb-27;
mar-27;
abr-27;
may-27;
jun-27;
jul-27;
ago-27;
sep-27;
oct-27;
nov-27;
dic-27;
ene-28;
feb-28;
mar-28;
abr-28;
may-28;
jun-28;
jul-28;
ago-28;
sep-28;
oct-28;
nov-28;
dic-28;
ene-29;
feb-29;
mar-29;
abr-29;
may-29;
jun-29;
jul-29;
ago-29;
sep-29;
oct-29;
nov-29;
dic-29;
ene-30;
